run,N,n1,n2,angle1_deg,angle2_deg,dirX,dirY
1,100,49,0,0.0,90.0,0.995380936536457,-0.09600412063971912
2,100,41,0,0.0,90.0,0.9845671692164434,-0.1750071121443906
3,100,48,0,0.0,90.0,0.8974750217625345,0.4410652846374766
4,100,25,0,0.0,90.0,0.9239948181117118,0.3824049896414856
5,100,46,0,0.0,90.0,0.8587567171507758,0.5123835484755755
6,100,46,0,0.0,90.0,0.8798468926898735,0.475257241316715
7,100,49,0,0.0,90.0,0.9967476183950199,-0.08058650770355874
8,100,22,0,0.0,90.0,0.9993649554197476,0.0356326518643502
9,100,42,0,0.0,90.0,0.7467228259146578,0.6651353405571138
10,100,27,0,0.0,90.0,0.8732634226808914,-0.4872483910775438
11,100,36,0,0.0,90.0,0.9587869423772887,0.2841260268381089
12,100,23,0,0.0,90.0,0.991623877294003,-0.12915914981296525
13,100,47,0,0.0,90.0,0.9921814997559888,-0.12480333145375974
14,100,43,0,0.0,90.0,0.9535496981963156,0.3012357433468268
15,100,24,0,0.0,90.0,-0.03738687793777653,-0.9993008662850572
16,100,44,0,0.0,90.0,0.7566679719448473,-0.6537993424842763
17,100,33,0,0.0,90.0,0.8725930530125211,0.48844791312307556
18,100,39,0,0.0,90.0,0.9630429575824228,-0.2693478454543488
19,100,24,0,0.0,90.0,0.8461272936083569,-0.5329808655205152
20,100,24,0,0.0,90.0,0.9856867834592639,0.16858696543247415
21,100,45,0,0.0,90.0,0.9989226317312586,-0.04640663546408146
22,100,40,0,0.0,90.0,0.9288400910545688,-0.3704808837844948
23,100,36,0,0.0,90.0,0.9777616949049263,-0.2097190214945842
24,100,48,0,0.0,90.0,0.9988095633536149,0.04877966946752837
25,100,43,0,0.0,90.0,0.9583031291348044,-0.28575358736233253
26,100,20,0,0.0,90.0,0.9590243048031132,0.28332381261889306
27,100,37,0,0.0,90.0,0.999977054382206,0.00677426815875272
28,100,29,0,0.0,90.0,0.7292153879718298,0.6842842376856956
29,100,24,0,0.0,90.0,0.9317652890411208,-0.36306121541431086
30,100,25,0,0.0,90.0,0.9658346784888867,0.25915897404540844
31,100,40,0,0.0,90.0,0.9960978650376828,0.08825555658070704
32,100,23,0,0.0,90.0,0.7332526383614434,0.6799562988427875
33,100,28,0,0.0,90.0,0.9459812386541752,-0.3242213689970366
34,100,25,0,0.0,90.0,0.983233943171093,0.18234860294563213
35,100,37,0,0.0,90.0,0.9539754497063941,-0.2998847134441548
36,100,33,0,0.0,90.0,0.866894580423659,-0.49849151089270144
37,100,44,0,0.0,90.0,0.9933972034174042,0.11472574359088106
38,100,36,0,0.0,90.0,0.9967109061725256,0.08103930846658892
39,100,26,0,0.0,90.0,0.9896047282941868,-0.14381405264364416
40,100,21,0,0.0,90.0,0.9898862170174673,0.14186358714923214
41,100,31,0,0.0,90.0,0.9401433134853908,0.3407793275841566
42,100,26,0,0.0,90.0,0.9888669035593834,0.14880271181963287
43,100,32,0,0.0,90.0,0.9921178297372006,0.12530846706247334
44,100,22,0,0.0,90.0,-0.20466307125661137,0.9788324817167702
45,100,37,0,0.0,90.0,0.8656259024125385,-0.5006913191503108
46,100,48,0,0.0,90.0,0.9992463185248002,0.03881745631328335
47,100,46,0,0.0,90.0,0.9292670372567333,-0.36940868082395284
48,100,26,0,0.0,90.0,0.9972111501640031,0.07463190998886646
49,100,45,0,0.0,90.0,0.8741306879550891,-0.4856907867925464
50,100,29,0,0.0,90.0,0.9989248964298496,0.04635786117385311
51,100,33,0,0.0,90.0,0.7459343363053955,0.6660194936491193
52,100,46,0,0.0,90.0,0.9647369261219285,-0.2632160013692415
53,100,22,0,0.0,90.0,0.9908337532087728,0.1350869109211429
